Lyrics,label
아침에 일어나 너에게 짧은 인사를 보낸다 아무리 멀리 떨어져 있어도 나는 널 생각하고 있어 늦은 밤 졸린 눈 비비며 너에게 편지를 쓸게 반가운 사진 속 그 표정만큼 아름다운 나날들이기를 찬 바람이 불어와 어깨가 움츠러들 때에도 너를 떠올린다면 씩씩한 표정 할 수 있어 알고 있니 넌 나의 두근대는 맘은 아직까지 여기에 언제까지나 좋아한단 말은 나를 웃음 짓게 해 때로는 지쳐 울어도 우 우 우 우 눈을 감으니 꼭 곁에 있는 것 같아 짠 하고 나타날 게 생각지 못한 어느 날 우연히 문득 뒤돌아 봤을 때 그때 꼭 내가 서 있을게 꼭 하고 껴안을게 가장 반가운 얼굴로 눈물이 왈칵 쏟아진다 해도 나는 환하게 웃을 거야 혹시 오늘 너에게 서러운 일이 생긴다면 오래전 그날처럼 달려가 꼭 안아주고파아름답게 빛나길 알고 있니 넌 나의 두근대는 맘은 아직까지 여기에 언제까지나 좋아한단 말은 나를 웃음 짓게 해 때로는 지쳐 울어도 눈을 감으니 꼭 곁에 있는 것 같아 기억해줘 넌 나의 보고 싶은 사람 이만 줄일게 안녕 번호 나의 유일한 번호 나의 유일한 번호 나의 유일한 번호 나의 유일한 번호 나의 유일한 번호 나의 유일한 번호 나의 유일한 번호 나의 유일한 번호 나의 유일한 번호 나는 여전히 너를 사랑하고 있다 나의 번호 나의 번호,0
라라랄라 라라랄라 이어 이어 네가 맛있었다고 했던 살구빛 샐러드 맛있어서 또 먹고 싶어 네가 좋아했던 것들을 나에게 자그마한 행복들 달력 안 기념일들로 채워지네 채워지네 나나나 나나나 네가 좋아했던 살구빛 샐러드 그날은 샐러드 기념일 우후나 나나 나나 네가 좋아하던 멜로디언 소리 그날은 멜로디 기념일 우 라라라나 나나 네가 예뻤었다고 했던 조그만 고양이 귀여워서 또 보고 싶어 네가 좋아했던 것들을 나에게 자그마한 고양이들 방에 한가득하게 채워지네 채워지네 나나나 나나나 네가 좋아했던 살구빛 샐러드 그날은 샐러드 기념일 우후 나 나나나 네가 좋아하던 멜로디언 소리 그날은 멜로디 기념일 우우 라라라나 나나 네가 좋아했던 살구빛 샐러드 그날은 샐러드 기념일 우후 나 나나나 네가 좋아하던 멜로디언 소리 그날은 멜로디 기념일 우우 라라라나 나나 번호 나의 유일한 번호 나의 유일한 번호 나의 유일한 번호 나의 유일한 번호 나의 유일한 번호 나의 유일한 번호 나의 유일한 번호 나의 유일한 번호 나의 유일한 번호 나는 여전히 너를 사랑하고 있다 나의 번호 나의 번호,0
자꾸 마주치는 네 눈빛에 왠지 어색해 대체 왜 이래 고개를 숙여봐도 너의 발끝에 맘이 설레 또 두근대 두근대 두근대네 발이 조금씩 내게로 천천히 한 걸음걸음 가까워지잖아숨길 수 없어진 내 맘은 커져만 가는데 살며시 고개 들어 너를 보면도 볼에 살짝 입 맞춰줘 혼자서 아주 오래 바라왔던 동화 같은 그런 순간이 오늘은 꼭 생기길 기도해 볼래한 발 두 발 뛰는 내 맘 때 발끝이 닿을 것 같아나 어떡해야 해 머릿속이 새하얗게 돼 괜스레 장난스레 한 발 물러서 멈춰 서면 넌 다가와 다가와 다가와 점점 더 커지는 심장의 발걸음 어쩌면 네게 들릴 것만 같아한 발 더 가까이 너에게 먼저 다가갈까 살며시 고개 들어 너를 보면도 볼에 살짝 입 맞춰줘 혼자서 아주 오래 바라왔던 동화 같은 그런 순간이 오늘은 꼭 생기길 기도해 볼래 망설이지 말아 줘 갑자기 고개 숙여 나를 향해도 볼에 살짝 입 맞춘 너 놀라서 고개 들어 너를 보면 아무 말 없이 안아줄래 네 품에 포근하게 어쩐지 맘이 자꾸 간지러워한 쪽 발이 하늘로 날아 내 마음도 따라서 오를 것 같아 수줍게 간직했던 내 가슴속비밀 오늘은 이뤄지길 기도해 볼래그래  그래 ,0
어깨동무까진 괜찮아 그 치마 손잡는 건 조금 위험해 잘 자란 메세 진 괜찮아그래도 자냐는 메세 진 안 돼심심할 때 연락해 커피 한 잔은 늦은 시간 술 한 잔은 안 돼가끔 전화는 영상통화는 아무래도 어색해서 못해 우리들 사이엔 우리 둘만 모르게 그어진 선 같은 게 있나 봐 친구라 하기엔 더 가까운 것 같은데 우린 그 선 위에 서 있나 봐넘어와 넘어와 어색해지면 어쩌지 뻘쭘해지면 어쩌지 넘어와 넘어와 눈 딱 감고 더 다가가 볼까 살짝 기대는 어깨 거기까지는 사실 지금도 난 좋은데 더 다가와도 멀어질까 걱정돼 아직 준비 안 된 것 같아 우리들 사이엔 우리 둘만 모르게 그어진 선 같은 게 있나 봐 친구라 하기엔 더 가까운 것 같은데 우린 그 선 위에 서 있나 봐 우리들 사이엔 우리 둘만 모르게 그어진 그어진 선 같은 게 있나 봐 친구라 하기엔 더 가까운 것 같은데 우린 그 선 위에 서 있나 봐넘어와 넘어와 어색해지면 어쩌지 뻘쭘해지면 어쩌지 넘어와 넘어와 눈 딱 감고 더 다가가 볼까아가야  어서 와라  와라  와라  와라  와라  와라  와라  와라  와라  와라  와라  와라  와라  와라  와라  와라  와라  와라  와라  와라  와라  와라  와라  와라  와라  와라  와라  와라  와라,0
햇살이 가득 그댈 향한 가벼운 발걸음 콧노래 부르며 쇼윈도에 비친 내 모습을 한번 점검해 시간은 충분해 오늘 그대와 어떤 얘기를 나눌까 어딜 가볼까 저기에 그녀가 보이네요 오늘은 정말 너무 기분 좋은 날 미소가 가득 나도 모르게 웃음이 나 그녈 생각하면 지금 내 모습 그녀 맘에 들지 않을까 자꾸 신경 쓰여 오늘 그대와 팔짱을 끼면 어떨까 손잡아 볼까 저기에 그녀가 보이네요 오늘은 정말 너무 기분 좋은 날 하늘 위를 나는 기분이 이런 걸까 오글댄 너무 새콤달콤 내 마음은 두근두근 기분이 좋아 분홍빛 장미를 닮은 아름다운 그녀의 모습 오늘은 어떨까 상상만으로 터져버릴 듯한 이 기분 어쩌면 좋아 오늘 그대와 어떤 얘기를 나눌까 어딜 가볼까 저기에 그녀가 보이네요 나를 향해 손을 흔드네요 눈앞에 그녀가 보이네요 오늘은 정말 너무 기분 좋은 날 알았어  됐어  고마워  여자애  여자애  여자애  여자애  여자애  여자애  여자애,0
세상에서 가장 행복한 말 그래서 더욱 듣고픈 말 고마운 말 날 살리는 말 사랑해 그댈 정말 쑥스러워 평생 못하는 말 그래서 더욱 하고픈 말 미안한 말 눈물 나는 말 사랑해 그댈 사랑해 마음은 굴뚝인데 이 핑계 저 핑계로 미뤄뒀지 그렇지만 나는 말이야 그러니까 나는 말아내 진심은 말이야 너를 사랑해 사랑해 사랑해 나에겐 누구보다 소중한 사람 언제나 내 곁에 있어서 자꾸 깜빡 잊고 살지만 사랑해 사랑해 사랑해 나 지금 눈물 나게 고마운 사람 언제나 그렇게 있어줘 그대 때문에 기쁜 내 맘을 알아줘멋쩍어서 내내 감추는 맘 그래서 지금 열고픈 맘 든든한 맘 참 따뜻한 맘 사랑해 그댈 사랑해 마음은 안 그런데 자꾸 툴툴거리고 짜증 냈지 그렇지만 나는 말이야 그러니까 나는 말아내 진심은 말이야 너를 사랑해 사랑해 사랑해 나에겐 누구보다 소중한 사람 언제나 내 곁에 있어서 자꾸 깜빡 잊고 살지만 사랑해 사랑해 사랑해 나 지금 눈물 나게 고마운 사람 언제나 그렇게 있어줘 그대 때문에 기쁜 내 맘을 알아줘 이것저것 재지 않아도 별다른 이유 찾지 않아도 날 믿어줄 날 감싸줄 날 지켜줄 힘이 돼 줄 나의 좋은 사람 들 그댈 사랑해 사랑해 사랑해 너를 사랑해 사랑해 사랑 해이 세상 누구보다 소중한 사람 언제나 내 곁에 있어서 자꾸 깜빡 잊고 살지만 사랑해 사랑해 사랑해 나 지금 눈물 나게 고마운 사람 언제나 그렇게 있어줘 그대 때문에 기쁜 내 맘을 알아줘 너를 사랑해 ,0
사랑 그게 뭔지 아직도 궁금해 생각할수록 답이 멀어져 만 가는 것 같아 잘 모르겠어돌고 도는 쳇바퀴에 맞춰지는 그걸 원하는 건 아닐 듯 말이야 왔다 가는 그런 인연 스쳐 가는 많은 우연 아직 난 기다리고 있어 마음은 널 향한 머리는 날 향한 깜빡이는 신호가 날 서두르게 하지만 또 스쳐가는 인연인가 봐 좋은 예감보다 앞서버린 희망 똑같은 실수 어김없이 반복해 또 내 안에 켜져 버린 돌고 도는 쳇바퀴에 지쳐가는 그걸 원하는 건 아닐 듯 말이야 왔다가는 그런 인연 스쳐가는 많은 우연 아직 난 기다리고 있어 마음은 널 향한 머리는 날 향한 깜빡이는 신호가 날 서두르게 하지만 또 스쳐가는 인연인가 봐 마음은 널 향한 머리는 날 향한 깜빡이는 신호가 날 서두르게 하지만 또 스쳐가는 인연인가 봐 아기 사랑은 그렇게 좋았던 적이 없어 날 안아줄 수 있을지 의심스러워 오 아기 사랑은 날 안아줄 수 있는지 그리고 내 것인지 의심스러워 날 안아줄 수 없어 그리고 밤은 괜찮을 거야 난 기다릴 수 없어 왜냐하면 널 사랑할 때마다 내,0
 널 바래다주는 길 내내 내가 변했다고 말하지 널 생각하지 않는다고 너는 투덜대지 언제나 넌 사랑이 설렘이니 내겐 사랑은 익숙함 야 너를 떠올리는 그 시간을 따로 두진 않아 늘 널 생각해 그래 널 생각해바쁜 하루의 순간순간 그 순간도 네가 보여 모두 보여줄 순 없지만 조금은 너도 느끼잖아 늘 널 생각해 매일 널 생각해 잠이 들어 꿈꾸는 순간도 내 앞에 웃는 그런 너를 생각해 기억나 내가 처음 고백했던 그날 멋진 이벤트도 없었지만 날 받아준 널 내 가슴에 늘 지금처럼 늘 널 생각해 그래 널 생각해바쁜 하루의 순간순간 그 순간도 네가 보여 모두 보여줄 순 없지만 조금은 너도 느끼잖아 늘 널 생각해 매일 널 생각해 잠이 들어 꿈꾸는 순간도 내 앞에 웃는 그런 너를 생각해 늘 널 생각해 그래 널 생각해 우리 함께한 순간순간 그 순간이 소중해서 말로 다 할 수는 없지만 조금씩 네게 보여줄게 늘 난 생각해 매일 난 생각해이른 아침잠에서 깨어나 이 세상에서 가장 행복한 너를 내 앞에 웃는 그런 널 보며 나는 사랑에 대한 사랑을 생각하고 있다   게,0
 만남이란 상상만으로도 눈부신 낭만의 시작한 잔의 진한 설렘에 향기가 온몸으로 퍼지는 환상의 시간 슬며시 두 볼이 붉어진 연인들이 단풍 잎새처럼 느껴질 쓸쓸함이란 씨앗에 핀 사랑들이 무르익는 계절의 소식 마음에 번지는 흥분과 또 넘치는 기쁨에 뿜어지는 눈물들이 며칠을 잠을 깨워 또 깨워 밤새워 애 태워 해 봐도 그리움 못 채워 그저 끄적 편지만 몇 글자 보고 싶은 사람의 얼굴만 자꾸자꾸 떠오 르네 떠오 르네 혼자 보다 외로움 보다 둘의 행복함 워 어어어 낮과 밤은 사라지는 사랑의 기적 열과 성과 진심으로 전한 사랑의 결과는 기분 좋은 변화로 믿음이라는 굳은살이 박이고 더 아끼고픈 욕심에 푹 빠지고 살기 좋은 이 삶이란 이야기만 지나칠 만큼 입에 맴돌아달콤한 말보다 사소함을 챙길 때 맺는 두 사람의 교감 아주 자주 아픈 말을 낳는 질투가 주는 실수는 비뚤어진 입을 길들여 이해하기 인정하기를 기억하고 실천하길 넓은 가슴이 즐겨 먹는 사랑은 맛있어 달 빛 젖은 햇살 머금은 세상의 선물 워 어어어지켜줄께 아껴줄게 영원의 주문 값진 사랑 반쪽을 갈서로 나누어 언제나 가슴에 품고서 모든 순간 함께해 웃음이 번지고 행복함은 넘치고 기쁨도 커지고 사랑은 맛있어 달 빛 젖은 햇살 머금은 세상의 선물 워 어어어지켜줄께 아껴줄게 영원의 주문 값진 사랑 반쪽을 갈라 서로 나누어 언제나 가슴에 품고서 모든 순간 함께해 오늘 밤 나는 너를 사랑해,0
장난스러운 너의 속삭임 내 마음을 알아차린 듯 신기루 같은 사랑의 유혹 너에게 나를 가둬둘 수 있도록 널 향한 나의 소원이란 사랑이란 걸 그대만의 기적이란 훔쳐볼 순 없는지 달콤한 사랑이여 그대는 잔인한 사랑이여 그대는 나 아닌 다른 사람에게도 늘 보란 듯 눈길 주더니 어느새 너의 황금화살에 너에게 나를 가둬둘 수 있도록 널 향한 나의 소원이란 사랑이란 걸 그대만의 기적이란 훔쳐볼 순 없는지 달콤한 사랑이여 그대는 잔인한 사랑이여 그대는 달콤한 사랑이여 그대는 잔인한 사랑이여 그대는 너에게 나를 가둬둘 수 있도록 널 향한 나의 소원이란 사랑이란 걸 너에게 나를 가둬둘 수 있도록 널 향한 나의 소원이란 사랑이란 걸 장난스러운 너의 속삭임 내 마음을 알아차린 듯 신기루 같은 사랑의 유혹 저스트 워너 폴 인 러브 그래그래 모든 것이 러브 저스트 워너 폴 인 러브 그래 너는 나를 새로운 기분으로 만들어 모두가 이 노래를 지금 당장 불러줘 너는 나를 새로운 기분으로 만들어줘,0
